grp_id,ctry
92609088,"AUS"
92609088,"E"
92609088,"J"
92609088,"USA"
92609090,"AUS"
92609090,"E"
92609090,"J"
92609090,"USA"
92609092,"AUS"
92609092,"E"
92609092,"J"
92609092,"USA"
92609094,"AUS"
92609094,"E"
92609094,"J"
92609094,"USA"
92609096,"AUS"
92609096,"E"
92609096,"J"
92609096,"USA"
92609098,"AUS"
92609098,"E"
92609098,"J"
92609098,"USA"
92609100,"AUS"
92609100,"E"
92609100,"J"
92609100,"USA"
92609102,"AUS"
92609102,"E"
92609102,"J"
92609102,"USA"
92609104,"AUS"
92609104,"E"
92609104,"J"
92609104,"USA"
92609106,"AUS"
92609106,"E"
92609106,"J"
92609106,"USA"
92609108,"AUS"
92609108,"E"
92609108,"J"
92609108,"USA"
92610902,"NZL"
92610907,"NZL"
92612689,"HWA"
92612689,"USA"
92612693,"MWM"
92612695,"MWM"
92612697,"MWM"
92613407,"ALS"
92613407,"GUM"
92613407,"HWA"
92613407,"MHL"
92613407,"USA"
92664102,"MWM"
92664103,"MWM"
92664104,"MWM"
92664105,"MWM"
93600197,"IND"
93600197,"MAU"
93600200,"IND"
93600200,"MAU"
93600202,"IND"
93600202,"MAU"
93600815,"F"
93600819,"XAA"
93600821,"XAA"
93600827,"F"
93600831,"XAA"
93600833,"XAA"
93627908,"GUM"
93627908,"HWA"
93627908,"USA"
93627911,"GUM"
93627911,"HWA"
93627911,"USA"
93627914,"GUM"
93627914,"HWA"
93627914,"USA"
93629014,"GUF"
93629016,"GUF"
94605784,"USA"
94605790,"USA"
94605796,"USA"
94605802,"USA"
94606953,"MWM"
94606955,"MWM"
94606957,"MWM"
94606959,"MWM"
94607019,"AUS"
94607021,"E"
94607023,"AUS"
94607025,"E"
94607027,"AUS"
94607029,"E"
94607030,"AUS"
94607032,"E"
94608843,"USA"
94608845,"USA"
94613502,"CNR"
94613507,"CNR"
94630357,"IND"
94630359,"IND"
94630361,"IND"
94630363,"IND"
95602280,"AUS"
95602290,"AUS"
95602292,"AUS"
95602298,"AUS"
95604375,"AUS"
95604375,"E"
95604375,"USA"
95604377,"AUS"
95604377,"E"
95604377,"USA"
95604379,"AUS"
95604379,"E"
95604379,"USA"
95604381,"AUS"
95604381,"E"
95604381,"USA"
95604382,"AUS"
95604382,"E"
95604382,"USA"
95604384,"AUS"
95604384,"E"
95604384,"USA"
95604712,"AUS"
95604712,"BEL"
95604712,"D"
95604712,"GUF"
95604712,"KEN"
95604718,"AUS"
95604718,"BEL"
95604718,"D"
95604718,"GUF"
95604718,"KEN"
95604724,"AUS"
95604724,"BEL"
95604724,"D"
95604724,"GUF"
95604724,"KEN"
95604730,"AUS"
95604730,"BEL"
95604730,"D"
95604730,"GUF"
95604730,"KEN"
95604753,"GUM"
95604755,"USA"
95604757,"HWA"
95604759,"GUM"
95604761,"GUM"
95605068,"J"
95605104,"J"
95605140,"J"
95605176,"J"
95605231,"J"
95605268,"J"
95605301,"J"
95605307,"J"
95605313,"J"
95605394,"J"
95605403,"J"
95605412,"J"
95605414,"J"
95605423,"J"
95605432,"J"
95605441,"J"
95605451,"J"
95605460,"J"
95605466,"J"
95605472,"J"
95605477,"J"
95605523,"J"
95605527,"J"
95605536,"J"
95605545,"J"
95605547,"J"
95605549,"J"
95605558,"J"
95605567,"J"
95605576,"J"
95605585,"J"
95605588,"J"
95605594,"J"
95605600,"J"
95605605,"J"
95605639,"J"
95605641,"J"
95605643,"J"
95605645,"J"
95605647,"J"
95605649,"J"
95605651,"J"
95605653,"J"
95605655,"J"
95605672,"J"
95605689,"J"
95605706,"J"
95605723,"J"
95605740,"J"
95605757,"J"
95605774,"J"
95605791,"J"
95605808,"J"
95605825,"J"
95605842,"J"
95605859,"J"
95605876,"J"
95605893,"J"
95605910,"J"
95605927,"J"
95605944,"J"
95605960,"J"
95605976,"J"
95605992,"J"
95606008,"J"
95606024,"J"
95606040,"J"
95606056,"J"
95606072,"J"
95606074,"J"
95606076,"J"
95606078,"J"
95606080,"J"
95606082,"J"
95606084,"J"
95606086,"J"
95606088,"J"
95606104,"J"
95606120,"J"
95606136,"J"
95606152,"J"
95606168,"J"
95606184,"J"
95606200,"J"
95606216,"J"
95606218,"J"
95606220,"J"
95606222,"J"
95606224,"J"
95606226,"J"
95606228,"J"
95606230,"J"
95606232,"J"
95606249,"J"
95606266,"J"
95606283,"J"
95606300,"J"
95606317,"J"
95606334,"J"
95606351,"J"
95606368,"J"
95606385,"J"
95606402,"J"
95606419,"J"
95606436,"J"
95606453,"J"
95606470,"J"
95606487,"J"
95606504,"J"
95606521,"J"
95606537,"J"
95606539,"J"
95606555,"J"
95606557,"J"
95606573,"J"
95606575,"J"
95606591,"J"
95606593,"J"
95606609,"J"
95606611,"J"
95606627,"J"
95606629,"J"
95606645,"J"
95606647,"J"
95606663,"J"
95606665,"J"
95606681,"J"
95606683,"J"
95606699,"J"
95606701,"J"
95606717,"J"
95606719,"J"
95606735,"J"
95606737,"J"
95606753,"J"
95606755,"J"
95606771,"J"
95606773,"J"
95606789,"J"
95606791,"J"
95606807,"J"
95637788,"J"
95637808,"J"
95637820,"J"
95637832,"J"
95637844,"J"
95637856,"J"
95637868,"J"
95637881,"J"
95637894,"J"
95637907,"J"
95637920,"J"
95637933,"J"
95637952,"J"
95637969,"J"
95637983,"J"
95637996,"J"
95638012,"J"
95638024,"J"
95638036,"J"
95638048,"J"
95638060,"J"
95638072,"J"
95638084,"J"
95638096,"J"
95638108,"J"
95638120,"J"
95638132,"J"
95638145,"J"
95638158,"J"
95638171,"J"
95638184,"J"
95638205,"J"
95638218,"J"
95638243,"J"
95638256,"J"
95638269,"J"
95638282,"J"
95638294,"J"
95638306,"J"
95638318,"J"
95639375,"HWA"
95639375,"USA"
95639378,"HWA"
95639378,"USA"
95639402,"AFG"
95639402,"AUS"
95639402,"IND"
95639402,"INS"
95639402,"J"
95639402,"THA"
95639402,"XR2"
95639408,"GUM"
95639411,"GUM"
95639414,"HWA"
95639414,"USA"
95639417,"HWA"
95639417,"USA"
95639427,"USA"
95639430,"USA"
95639489,"USA"
95639492,"USA"
95639495,"HWA"
95639495,"USA"
95639498,"GUM"
95639498,"HWA"
95639498,"USA"
95867832,"J"
95867838,"J"
95867844,"J"
95867849,"J"
95867883,"J"
95867892,"J"
95867901,"J"
95867903,"J"
95867912,"J"
95867921,"J"
95867930,"J"
95867939,"J"
95867948,"J"
95867950,"J"
95867952,"J"
95867954,"J"
95868008,"J"
95868014,"J"
95868020,"J"
95868059,"J"
95868068,"J"
95868077,"J"
95868081,"J"
